Gia,Log_Gia,Tuoi_xe,Log_So_Km_da_di,Km_moi_nam,Tuoi_xe_x_Km,TinhTrang_x_XuatXu,LoaiXe_x_PhanKhuc,Vung_mien_code,Thuong_hieu_code,Dong_xe_code,Loai_xe_code,Tinh_trang_code,Xuat_xu_code,Phan_khuc_dung_tich_code
10500000.0,16.166885910365842,6,8.922791623969637,1229.5081967213116,53.53674974381782,8,0,1,30,48,1,1,8,0
25555555.0,17.056365306942553,5,10.491301994830229,7058.823529411765,52.456509974151146,7,0,1,37,57,0,1,7,0
20600000.0,16.840801682303496,8,3.4011973816621555,3.5802469135802473,27.209579053297244,8,0,1,12,172,1,1,8,0
12000000.0,16.300417291085605,18,9.210440366976517,552.4861878453038,165.7879266055773,3,2,1,12,48,1,1,3,2
24000000.0,16.993564429978885,15,10.819798284210286,3311.2582781456954,162.29697426315428,3,2,1,12,32,1,1,3,2
11900000.0,16.29204904211537,13,10.34177474101152,2366.412213740458,134.44307163314977,8,0,1,12,88,1,1,8,0
11000000.0,16.213405921671733,9,11.289794413577894,8791.208791208792,101.60814972220105,7,0,1,12,177,2,1,7,0
86000000.0,18.26985786584569,4,6.400257445308821,146.58536585365854,25.601029781235283,5,0,1,12,139,1,1,5,0
15300000.0,16.54336345172214,15,10.491301994830229,2384.1059602649007,157.36952992245344,8,0,1,12,11,1,1,8,0
24000000.0,16.993564429978885,6,9.392745258631441,1967.2131147540986,56.356471551788644,7,0,1,12,172,1,1,7,0
12600000.0,16.349207451286784,13,10.491301994830229,2748.0916030534354,136.38692593279296,8,0,1,12,11,1,1,8,0
21500000.0,16.88356353960952,9,13.66119436444038,94175.82417582418,122.95074927996342,7,0,1,12,11,1,1,7,0
8000000.0,15.894952224644102,2,1.6094379124341003,1.9047619047619047,3.2188758248682006,8,0,1,12,11,1,1,8,0
8900000.0,16.001561947061912,18,10.509686990445372,2025.85635359116,189.1743658280167,4,0,1,24,73,1,1,4,0
31500000.0,17.265498135541893,2,9.61587214452889,7142.857142857142,19.23174428905778,7,0,1,12,172,1,1,7,0
9900000.0,16.108045416114916,16,10.308985993422082,1863.3540372670807,164.94377589475332,8,0,1,12,88,1,1,8,0
12000000.0,16.300417291085605,26,10.308985993422082,1149.4252873563219,268.0336358289741,3,0,1,29,48,0,1,3,0
14000000.0,16.454567959008102,15,9.210440366976517,662.2516556291391,138.15660550464776,8,0,1,37,57,0,1,8,0
120000000.0,18.603002309079653,3,9.305741456739435,3548.3870967741937,27.917224370218307,5,1,1,12,139,1,1,5,1
87000000.0,18.28141868811311,3,6.55250788703459,225.80645161290323,19.65752366110377,5,0,1,12,139,1,1,5,0
8300000.0,15.931766193248746,13,9.852246888342531,1450.381679389313,128.0792095484529,3,0,1,12,11,1,1,3,0
3800000.0,15.150511887854474,16,4.820281565605037,7.639751552795031,77.1245050496806,3,4,1,15,48,2,1,3,2
27500000.0,17.129696599000436,16,10.373522431293592,1987.5776397515526,165.97635890069748,7,0,1,12,11,1,1,7,0
11200000.0,16.231424425551033,4,10.114599007626499,6024.39024390244,40.458396030505995,8,0,1,37,143,2,1,8,0
13000000.0,16.380459992348886,1,7.0909098220799835,1090.9090909090908,7.0909098220799835,7,2,1,14,48,1,1,7,2
22000000.0,16.906553056777135,11,10.308985993422082,2702.702702702703,113.39884592764291,8,0,1,24,170,1,1,8,0
9500000.0,16.066802461833923,6,9.392745258631441,1967.2131147540986,56.356471551788644,7,2,1,12,136,1,1,7,2
50500000.0,17.73748391404757,24,9.680406499268875,663.9004149377593,232.32975598245298,8,0,1,12,63,2,1,8,0
25555555.0,17.056365306942553,5,10.463131911491967,6862.745098039216,52.31565955745984,7,0,1,37,57,0,1,7,0
5500000.0,15.520258832020865,17,4.61512051684126,5.847953216374268,78.45704878630141,1,0,1,12,177,2,1,1,0
22000000.0,16.906553056777135,14,9.90353755128617,1418.4397163120568,138.64952571800637,5,0,1,12,27,0,1,5,0
10000000.0,16.118095750958314,15,3.6888794541139363,2.5827814569536423,55.33319181170904,8,0,1,12,88,1,1,8,0
10700000.0,16.185754392890075,15,9.421087402953841,817.5496688741722,141.3163110443076,3,0,1,12,11,1,1,3,0
28000000.0,17.147715103853763,14,9.546884034617925,992.9078014184397,133.65637648465093,5,0,1,12,27,0,1,5,0
89000000.0,18.30414693893237,4,6.90875477931522,243.90243902439028,27.63501911726088,4,0,1,12,10,1,1,4,0
88000000.0,18.292847383806116,4,6.90875477931522,243.90243902439028,27.63501911726088,7,0,1,12,139,1,1,7,0
9000000.0,16.012735246411598,19,10.545367754151743,1989.5287958115182,200.36198732888312,8,0,1,12,34,1,1,8,0
8000000.0,15.894952224644102,28,0.0,0.0,0.0,3,4,1,12,35,2,1,3,2
12000000.0,16.300417291085605,15,0.0,0.0,0.0,8,0,1,29,69,0,1,8,0
